unit_id,province,ssp,year,log_effort_visits_z,temp_grad_z,hazard_glmm,hazard_xgb
CNTY_02031,Sichuan,SSP585,2080,1.96852012928041,11.3580261445795,0.903870443201214,0.0477457009255886
CNTY_02032,Sichuan,SSP245,2030,0.913259072821705,1.36106863226852,0.039657452901919,0.0698804333806038
CNTY_02032,Sichuan,SSP245,2050,0.913259072821705,2.75599293631191,0.0454904831552477,0.0678272619843483
CNTY_02032,Sichuan,SSP245,2080,0.913259072821705,4.84837939237701,0.0558389963184084,0.0678272619843483
CNTY_02032,Sichuan,SSP585,2030,0.913259072821705,2.05853078429021,0.0424761876520324,0.0707712322473526
CNTY_02032,Sichuan,SSP585,2050,0.913259072821705,5.77832892840594,0.061141077533417,0.0678272619843483
CNTY_02032,Sichuan,SSP585,2080,0.913259072821705,11.3580261445795,0.104667216946111,0.0678272619843483
CNTY_02033,Sichuan,SSP245,2030,0.0745649075123713,1.36106863226852,0.0294137444770899,0.0562587194144726
CNTY_02033,Sichuan,SSP245,2050,0.0745649075123713,2.75599293631191,0.0252212709517954,0.0527983158826828
CNTY_02033,Sichuan,SSP245,2080,0.0745649075123713,4.84837939237701,0.0200145978259432,0.0527983158826828
CNTY_02033,Sichuan,SSP585,2030,0.0745649075123713,2.05853078429021,0.0272380934716926,0.0555033124983311
CNTY_02033,Sichuan,SSP585,2050,0.0745649075123713,5.77832892840594,0.0180565837876401,0.0527983158826828
CNTY_02033,Sichuan,SSP585,2080,0.0745649075123713,11.3580261445795,0.00971868366877193,0.0551261976361275
CNTY_02034,Sichuan,SSP245,2030,0.0372301341097891,1.36106863226852,0.0290240578073547,0.060315478593111
CNTY_02034,Sichuan,SSP245,2050,0.0372301341097891,2.75599293631191,0.024564500780656,0.0535919889807701
CNTY_02034,Sichuan,SSP245,2080,0.0372301341097891,4.84837939237701,0.0191140351366585,0.0535919889807701
CNTY_02034,Sichuan,SSP585,2030,0.0372301341097891,2.05853078429021,0.0267026194872522,0.0535919889807701
CNTY_02034,Sichuan,SSP585,2050,0.0372301341097891,5.77832892840594,0.017093749023214,0.0509751103818417
