file,variable,type,n_missing,min,max,unit,description
species_range_native_anom.csv,year,integer,0,2002,2024,year,""
species_range_native_anom.csv,temp_native_anom_range,numeric,0,0.786476870270875,1.51714017811816,°C,""
species_range_native_anom.csv,species,character,0,,,"",""
community_grid_100km_climate_native.csv,grid_id,integer,0,54,3665,"",""
community_grid_100km_climate_native.csv,bio1,numeric,36,-11.1756629943848,25.2687511444092,"",""
community_grid_100km_climate_native.csv,bio4,numeric,36,282.019500732422,1742.38061523438,"",""
community_grid_100km_climate_native.csv,bio12,numeric,36,15.1643905639648,3076.95922851563,"",""
community_grid_100km_climate_native.csv,bio15,numeric,36,20.6693229675293,145.419830322266,"",""
community_grid_100km_climate_native.csv,elev,numeric,36,0.871736824512482,5510.95751953125,"",""
community_grid_100km_climate_native.csv,bio1_z,numeric,36,-2.23718001657358,2.41586768585218,z-score,""
community_grid_100km_climate_native.csv,bio4_z,numeric,36,-2.30144144511027,2.11882158803851,z-score,""
community_grid_100km_climate_native.csv,bio12_z,numeric,36,-1.100513730009,4.8809620505133,z-score,""
community_grid_100km_climate_native.csv,bio15_z,numeric,36,-3.02740000090486,2.44406332078896,z-score,""
community_grid_100km_climate_native.csv,elev_z,numeric,36,-1.01968174419765,2.31576343386309,z-score,""
community_grid_100km_climate_native.csv,lon,numeric,0,73.6141100326944,136.558525090813,°E,""
community_grid_100km_climate_native.csv,lat,numeric,0,18.409118131092,53.2867806513094,°N,""
community_grid_100km_climate_native.csv,lat_bin,numeric,0,18.5,53.5,°N,""
community_grid_100km_climate_native.csv,bio1_lat_grad,numeric,3,-3.91539176305135,24.9789743423462,"",""
community_grid_100km_climate_native.csv,climate_velocity,numeric,36,-15.6205387115479,15.6571982701619,km/decade,""
community_grid_100km_climate_native.csv,climate_velocity_z,numeric,36,-2.81822430647174,2.8248383459142,km/decade,""
community_grid_100km_climate_native.csv,mahalanobis_dist,numeric,36,0.00515602647164805,28.283624819858,"",""
community_grid_100km_climate_native.csv,mahalanobis_dist_z,numeric,36,-0.922148984957673,12.1577322629918,z-score,""
community_grid_100km_effort_native.csv,grid_id,integer,0,54,3665,"",""
community_grid_100km_effort_native.csv,year,integer,0,2002,2024,year,""
community_grid_100km_effort_native.csv,n_events,integer,0,0,23049,"",""
community_grid_100km_effort_native.csv,n_observers,integer,0,0,2212,"",""
community_grid_100km_effort_native.csv,n_dates,integer,0,0,365,"",""
community_grid_100km_effort_native.csv,log_n_events,numeric,0,0,10.0454210484248,log(),""
community_grid_100km_effort_native.csv,log_n_observers,numeric,0,0,7.70210434005105,log(),""
community_grid_100km_effort_native.csv,log_n_dates,numeric,0,0,5.90263333340137,log(),""
community_grid_100km_effort_native.csv,log_n_events_z,numeric,0,-0.953474254012857,12.8075289698966,z-score,""
community_grid_100km_effort_native.csv,log_n_observers_z,numeric,0,-0.971487012640513,12.0399820077453,z-score,""
community_grid_100km_effort_native.csv,log_n_dates_z,numeric,0,-0.991333263017754,12.9369026395585,z-score,""
community_grid_100km_effort_native.csv,effort_pc1,numeric,30713,-1.58170947503916,8.63850269873567,"",""
community_grid_100km_effort_native.csv,effort_pc1_z,numeric,30713,-1.32275393793471,5.14025848111829,z-score,""
community_grid_100km_effort_native.csv,province,character,0,,,"",""
risk_set_grid_100km_v2.csv,province,character,0,,,"",""
risk_set_grid_100km_v2.csv,year,integer,0,2002,2011,year,""
risk_set_grid_100km_v2.csv,grid_id,integer,0,2280,2643,"",""
risk_set_grid_100km_v2.csv,species,character,0,,,"",""
risk_set_grid_100km_v2.csv,arrival_year,logical,50000,,,year,""
risk_set_grid_100km_v2.csv,event,integer,0,0,0,"",""
risk_set_grid_100km_v2.csv,bio1_z,numeric,0,1.0186029775148,1.28925014715112,z-score,""
risk_set_grid_100km_v2.csv,bio4_z,numeric,0,-0.613305568878398,-0.201988100560026,z-score,""
risk_set_grid_100km_v2.csv,bio12_z,numeric,0,0.308915963071658,2.17711010110705,z-score,""
risk_set_grid_100km_v2.csv,bio15_z,numeric,0,-1.76785890981316,-0.341196961634681,z-score,""
risk_set_grid_100km_v2.csv,elev_z,numeric,0,-1.00809613257442,-0.748110125214129,z-score,""
risk_set_grid_100km_v2.csv,climate_velocity_z,numeric,0,1.27397757822166,2.20102642705193,km/decade,""
risk_set_grid_100km_v2.csv,mahalanobis_dist_z,numeric,0,-0.330627079818939,1.34239289809787,z-score,""
risk_set_grid_100km_v2.csv,log_n_events_z,numeric,0,-0.328671934364929,4.71966990593422,z-score,""
risk_set_grid_100km_v2.csv,log_n_observers_z,numeric,0,-0.343119453487189,5.44443026298654,z-score,""
risk_set_grid_100km_v2.csv,log_n_dates_z,numeric,0,-0.329046967711949,4.53980949570465,z-score,""
risk_set_grid_100km_v2.csv,effort_pc1_z,numeric,41024,-0.896305361032835,1.50416184741321,z-score,""
risk_set_grid_100km_v2.csv,prov_climate_velocity_z,numeric,0,0.0247144110167908,0.0247144110167908,km/decade,""
risk_set_grid_100km_v2.csv,prov_warming_rate_z,numeric,0,0.674578267823628,0.674578267823628,°C,""
risk_set_grid_100km_v2.csv,prov_temp_anom_z,numeric,0,-1.23194046816011,0.186329847406554,°C,""
risk_set_grid_100km_v2.csv,prov_climate_exposure_z,numeric,0,0.625999995756326,0.625999995756326,z-score,""
table_morans_i_residuals.csv,class_km,integer,0,50,500,"",""
table_morans_i_residuals.csv,I,numeric,1,-6.64300245351978e-05,0.000205235159864393,"",""
table_morans_i_residuals.csv,expected,numeric,1,-7.80518264127381e-05,-7.80518264127381e-05,"",""
table_morans_i_residuals.csv,sd,numeric,1,0.000441894223230732,0.0033872892608419,"",""
table_morans_i_residuals.csv,p.value,numeric,1,0.891364452520245,0.97901808414112,"",""
table_morans_i_residuals.csv,n_pairs,integer,0,0,13480856,"",""
table_morans_i_residuals.csv,model,character,0,,,"",""
table_offset_coefficients.csv,model,character,0,,,"",""
table_offset_coefficients.csv,term,character,0,,,"",""
table_offset_coefficients.csv,beta,numeric,0,-31.1391467817522,0.135046181411256,"",""
table_offset_coefficients.csv,std.error,numeric,0,0.0476979703633465,1.03881116279057,"",""
table_offset_coefficients.csv,statistic,numeric,0,-72.4071980576497,2.63081541777371,"",""
table_offset_coefficients.csv,p.value,numeric,0,0,0.987380008371364,"",""
table_offset_coefficients.csv,conf.low,numeric,0,-33.1751792475599,0.0344364426863285,"",""
table_offset_coefficients.csv,conf.high,numeric,0,-29.1031143159445,0.235655920136183,"",""
table_offset_coefficients.csv,hr,numeric,0,2.99530037941008e-14,1.14458964189576,"",""
table_offset_coefficients.csv,hr.low,numeric,0,3.91023372079723e-15,1.03503624216243,"",""
table_offset_coefficients.csv,hr.high,numeric,0,2.29444708513867e-13,1.26573872002586,"",""
table_offset_coefficients.csv,p.fdr,numeric,0,0,0.987380008371364,"",""
table_offset_reformulation.csv,model,character,0,,,"",""
table_offset_reformulation.csv,df,integer,0,4,5,"",""
table_offset_reformulation.csv,logLik,numeric,0,-7437.91296913215,-2107.55364093608,"",""
table_offset_reformulation.csv,AIC,numeric,0,4223.10753187217,14883.8259382643,"",""
table_offset_reformulation.csv,BIC,numeric,0,4252.94039411021,14913.6588005023,"",""
table_offset_reformulation.csv,dAIC,numeric,0,0,10660.7184063921,"",""
table_offset_reformulation.csv,aic_w,numeric,0,0,0.731034001426831,"",""
table_offset_reformulation.csv,evidence_ratio,numeric,0,1,Inf,"",""
table_offset_coefficients.parquet,model,character,0,,,"",""
table_offset_coefficients.parquet,term,character,0,,,"",""
table_offset_coefficients.parquet,beta,numeric,0,-31.1391467817522,0.135046181411256,"",""
table_offset_coefficients.parquet,std.error,numeric,0,0.0476979703633465,1.03881116279057,"",""
table_offset_coefficients.parquet,statistic,numeric,0,-72.4071980576497,2.63081541777371,"",""
table_offset_coefficients.parquet,p.value,numeric,0,0,0.987380008371364,"",""
table_offset_coefficients.parquet,conf.low,numeric,0,-33.1751792475599,0.0344364426863285,"",""
table_offset_coefficients.parquet,conf.high,numeric,0,-29.1031143159445,0.235655920136183,"",""
table_offset_coefficients.parquet,hr,numeric,0,2.99530037941008e-14,1.14458964189576,"",""
table_offset_coefficients.parquet,hr.low,numeric,0,3.91023372079723e-15,1.03503624216243,"",""
table_offset_coefficients.parquet,hr.high,numeric,0,2.29444708513867e-13,1.26573872002586,"",""
table_offset_coefficients.parquet,p.fdr,numeric,0,0,0.987380008371364,"",""
